                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8348,                 2.9694,                 1.3447,                 0.4006,                0.44832,                0.33101,                0.16814,                 1.5267,                 3.1455,                 1.1734,                 0.0802,                 0.0022,                 0.0022
                      1,                 1.4462,                  1.125,                 1.1039,                0.69704,                0.57989,                0.62254,                0.36616,                 1.3834,                 2.2734,                 1.0907,               0.059352,              0.0043515,              0.0043515
                      2,                 1.3705,                0.98027,                 1.0533,                0.76006,                0.60945,                 0.6787,                0.42585,                 1.1897,                 1.4902,                0.99859,               0.038351,              0.0063512,              0.0063512
                      3,                 1.3308,                0.99666,                 1.0103,                0.75261,                 0.6292,                0.72075,                0.46698,                 1.1687,                0.87785,                0.97312,               0.017199,              0.0081991,              0.0081991
                      4,                 1.3339,                0.94614,                 1.0049,                0.77562,                 0.6528,                0.73657,                0.44563,                 1.2267,                0.97947,                0.99248,                0.00868,                0.00868,                0.00868
                      5,                 1.3518,                0.90418,                 1.0086,                0.78834,                   0.63,                0.73063,                0.43382,                 1.2833,                0.97309,                 1.0034,                0.00868,                0.00868,                0.00868
                      6,                 1.3143,                 0.8829,                0.99141,                0.78011,                0.68324,                0.76564,                0.50287,                 1.1001,                0.80367,                0.94691,                0.00835,                0.00835,                0.00835
                      7,                 1.2373,                0.85301,                0.97757,                0.79968,                0.70096,                0.77979,                 0.5054,                 1.1387,                0.80771,                0.95835,                0.00802,                0.00802,                0.00802
                      8,                 1.2339,                0.80209,                0.97648,                 0.8159,                0.70605,                 0.7891,                0.52044,                 1.0844,                0.75594,                0.94541,                0.00769,                0.00769,                0.00769
                      9,                 1.2194,                0.78449,                0.97027,                0.81706,                0.72017,                 0.7946,                0.52021,                  1.091,                 0.7508,                 0.9399,                0.00736,                0.00736,                0.00736
                     10,                 1.1866,                0.76584,                0.96112,                0.82113,                0.69699,                0.78629,                0.52223,                 1.0769,                0.77797,                 0.9464,                0.00703,                0.00703,                0.00703
                     11,                 1.1786,                0.75047,                0.95016,                0.80432,                0.74406,                0.80864,                0.54828,                 1.0158,                0.69175,                0.92878,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.1496,                0.73636,                0.95214,                0.83613,                0.73444,                0.81779,                0.55561,                 1.0465,                0.73101,                 0.9302,                0.00637,                0.00637,                0.00637
                     13,                 1.1497,                0.72289,                0.95632,                 0.8217,                0.74491,                0.82205,                0.56057,                 1.0349,                0.65647,                0.92503,                0.00604,                0.00604,                0.00604
                     14,                  1.123,                0.72013,                0.94513,                 0.8263,                 0.7204,                0.81133,                 0.5506,                 1.0308,                 0.7223,                0.93102,                0.00571,                0.00571,                0.00571
                     15,                  1.112,                0.70638,                0.94124,                0.83147,                  0.728,                0.81708,                0.55902,                 1.0396,                0.66281,                0.92559,                0.00538,                0.00538,                0.00538
                     16,                 1.1043,                0.67814,                0.93736,                0.84538,                0.72084,                0.81131,                0.56366,                0.98685,                 0.6634,                0.91027,                0.00505,                0.00505,                0.00505
                     17,                 1.0998,                0.68352,                0.93681,                0.84117,                0.74762,                0.82801,                0.57376,                0.99737,                 0.6429,                0.91139,                0.00472,                0.00472,                0.00472
                     18,                 1.0584,                0.66261,                0.92178,                0.83983,                0.73648,                0.82124,                0.56089,                 1.0148,                0.68102,                0.91921,                0.00439,                0.00439,                0.00439
                     19,                 1.0406,                0.64833,                0.92257,                 0.8451,                0.75084,                0.82987,                0.57411,                0.98325,                0.62948,                0.91168,                0.00406,                0.00406,                0.00406
                     20,                 1.0275,                0.66837,                0.92779,                 0.8388,                0.74968,                0.82005,                0.56265,                 1.0544,                0.64648,                0.92443,                0.00373,                0.00373,                0.00373
                     21,                 1.0094,                 0.6366,                0.91802,                0.84654,                0.71488,                0.81416,                0.57056,                0.98113,                0.63315,                 0.9123,                 0.0034,                 0.0034,                 0.0034
                     22,                0.97892,                0.61705,                 0.9054,                0.83181,                0.74186,                0.81957,                0.57348,                0.98031,                0.64152,                0.91024,                0.00307,                0.00307,                0.00307
                     23,                0.97257,                0.60862,                0.90093,                0.85061,                0.73793,                0.82885,                0.57511,                0.98409,                0.63745,                0.91267,                0.00274,                0.00274,                0.00274
                     24,                0.95987,                0.59904,                0.90358,                 0.8597,                0.74676,                  0.832,                0.58646,                0.95941,                0.62024,                0.90543,                0.00241,                0.00241,                0.00241
                     25,                0.95904,                0.59254,                0.90329,                0.84982,                0.74155,                0.82912,                0.58365,                0.97201,                0.61487,                0.90844,                0.00208,                0.00208,                0.00208
                     26,                0.95177,                0.58611,                0.90059,                0.86705,                0.74306,                0.83827,                0.58998,                0.97067,                0.60431,                0.90551,                0.00175,                0.00175,                0.00175
                     27,                0.93963,                0.57541,                0.89687,                0.85459,                0.75624,                0.84452,                0.59387,                0.96389,                0.59847,                0.90445,                0.00142,                0.00142,                0.00142
                     28,                0.92876,                0.57871,                0.89514,                0.85291,                0.75811,                0.84437,                0.59901,                0.95256,                0.59017,                0.90266,                0.00109,                0.00109,                0.00109
                     29,                0.91644,                0.55222,                 0.8925,                 0.8678,                0.71462,                0.80084,                0.56779,                0.94655,                0.58926,                0.89825,                0.00076,                0.00076,                0.00076
